@relation project-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute SalaryUSD {Low,High,High-Mid,Low-Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
High-Mid,USA,M,6,EC,DT,Y,6,1,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,AN,N,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,A,Y,10,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,15,E,DT,N,11,4,6,NP,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,DBAG,N,15,4,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,2,E,DS,N,2,2,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,5,E,E,N,5,3,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,1,E,AN,N,1,1,3,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAP,N,20,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,MDB,3,E,DA,N,3,1,1,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Australia,M,7,E,DBAP,N,7,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,UK,M,14,EC,DT,Y,14,5,0,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,10,E,DT,N,4,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,2,EC,A,Y,2,1,0,FG,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,8,E,D,Y,10,1,0,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Indonesia,M,6,E,DBAG,N,6,5,2,E,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,AN,N,8,2,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,D,N,5,1,3,SG,SE,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,3,E,E,N,6,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,7,E,AN,N,7,2,2,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,20,E,A,Y,6,2,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,AN,N,1,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,Australia,M,7,E,E,N,7,1,3,SG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,1,E,DA,N,1,1,4,PB,SR,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,DB2,2,E,AN,N,2,1,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,6,E,DBAP,N,6,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,7,E,DBAG,N,4,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,A,Y,6,3,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Brazil,M,1,E,DBAP,N,1,1,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,Australia,M,15,E,M,Y,7,3,3,SG,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,4,E,DBAG,N,4,5,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,2,E,D,N,2,1,1,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,18,E,A,N,25,2,3,E,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,7,E,DBAP,N,7,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,10,E,M,Y,1,1,0,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,22,E,DBAP,N,20,5,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Thailand,M,6,E,DBAG,Y,6,3,2,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,14,E,DT,N,10,4,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,1,E,DT,Y,1,1,2,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,MS,3,E,DBAG,N,5,2,6,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,DA,Y,2,2,0,PB,S,NB,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,8,E,D,N,8,2,0,PB,SE,NB,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,2,E,DS,N,4,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,DT,N,5,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,8,E,D,N,8,2,0,PB,SE,NB,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,DA,Y,2,2,0,PB,S,NB,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,EC,DT,N,9,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,2,E,D,Y,3,2,3,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Turkey,M,9,E,DBAG,N,9,2,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,DB2,2,E,E,N,7,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,A,N,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,O,1,E,DBAP,N,1,1,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,DS,Y,6,2,0,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,O,13,E,AN,N,20,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,7,EC,AN,N,5,3,3,FG,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,4,E,DBAP,Y,4,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,E,N,1,1,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,E,D,N,3,1,1,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,D,N,3,1,6,NP,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,A,N,5,1,0,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,RDS,2,E,AN,N,2,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,23,E,DBAG,N,23,6,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,13,E,E,N,5,2,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,7,E,DBAG,N,10,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,14,E,DBAG,Y,13,2,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,4,E,DT,N,8,2,2,NP,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,D,N,10,2,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,19,E,DBAG,N,20,2,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,4,E,DBAG,N,4,2,2,NP,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Australia,M,10,E,D,N,10,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,7,E,D,Y,7,1,0,FG,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,E,M,Y,1,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,A,4,E,AN,Y,4,2,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,16,E,DBAG,N,9,5,2,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,1,E,DT,N,1,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,3,E,DBAP,N,19,5,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,O,34,E,M,Y,34,5,1,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,New-Zealand,M,12,EC,D,N,12,6,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,8,EC,A,Y,8,3,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,7,E,A,N,2,1,1,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,4,E,AN,N,4,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,20,E,DBAD,Y,15,1,0,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,7,E,M,Y,3,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,DBAD,N,5,3,3,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,11,E,DS,N,1,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAP,N,6,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,E,DBAD,N,4,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,DT,N,6,3,2,NP,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,16,E,A,N,16,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,MA,6,E,D,N,6,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,2,E,DA,N,2,1,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,M,Y,1,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,O,1,P,AN,N,1,2,1,LG,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,5,E,AN,N,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,1,E,AN,N,1,1,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,10,EC,D,N,6,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAG,N,6,3,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,7,E,DA,N,7,4,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,3,E,AN,N,3,1,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,13,E,A,Y,8,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,EC,DT,N,3,3,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAG,N,10,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,3,E,E,N,4,3,4,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,MS,5,E,DBAD,N,10,3,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,8,E,E,N,8,1,2,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Canada,M,10,E,DBAG,N,2,5,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,18,E,E,N,10,2,6,LG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Sweden,M,15,E,DBAD,N,2,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,EC,AN,N,7,3,6,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Philippines,M,7,E,DBAP,Y,7,2,6,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,5,E,D,Y,4,3,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,DBAP,Y,7,3,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,22,E,DBAP,Y,5,4,0,NP,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,24,IC,DBAG,N,22,6,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,24,IC,DBAG,N,22,6,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,O,21,E,DBAG,Y,33,6,6,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,DBAG,Y,4,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,13,EC,A,N,6,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,8,E,D,N,8,3,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,7,E,DBAG,N,1,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,4,E,DBAG,Y,4,1,3,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,DT,N,15,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,DBAP,Y,9,2,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,DBAG,N,5,1,1,SG,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,6,E,AN,N,8,1,2,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,5,E,M,Y,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Canada,O,1,E,AN,N,1,1,5,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,3,E,DBAD,N,3,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,20,EC,D,Y,15,3,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,M,8,E,D,N,8,4,0,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,O,8,E,M,Y,7,4,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Netherlands,M,3,E,E,N,3,1,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,O,15,E,E,N,15,1,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,4,E,AN,N,6,1,1,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,Switzerland,M,13,E,DBAD,N,14,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,20,E,DBAG,N,20,1,2,LG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,3,E,E,N,3,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,4,E,M,N,4,1,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,E,DBAG,N,6,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,10,E,DBAG,Y,7,3,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,M,9,E,DBAP,Y,9,2,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Denmark,M,4,EC,E,N,4,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAG,N,7,2,6,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,4,E,DBAP,N,4,1,2,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,2,E,E,N,2,1,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,15,E,DBAP,N,15,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Norway,M,22,E,DA,N,22,1,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,18,E,DBAG,Y,8,2,0,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,2,E,D,N,2,2,1,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,M,10,E,DBAP,N,10,3,3,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,O,1,E,DBAG,N,1,1,0,NP,SR,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Israel,M,12,E,DBAP,N,12,3,4,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,8,E,DBAP,Y,5,4,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,MS,3,E,A,Y,2,1,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,MS,4,E,D,Y,1,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Sweden,M,7,EC,DT,N,7,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Austria,M,8,E,DBAD,N,8,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DA,N,10,4,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Croatia,M,6,E,DBAP,N,5,1,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,7,EC,DBAG,N,6,2,1,FG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,9,E,D,Y,10,1,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Netherlands,O,2,E,D,N,1,1,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Slovenia,M,4,E,DBAG,N,3,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,10,E,DBAP,N,10,6,6,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,2,E,E,N,6,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,3,E,E,N,3,3,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Sweden,M,5,E,DBAG,N,5,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,6,E,DBAG,N,1,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Hungary,M,15,E,DBAP,N,6,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Germany,M,15,E,DBAG,N,19,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,8,E,M,Y,2,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Netherlands,M,10,EC,DBAG,N,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,10,IC,DA,N,10,6,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Netherlands,M,4,E,DBAP,N,4,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Switzerland,M,4,E,E,Y,33,5,6,SG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,EC,D,N,10,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,A,6,E,A,N,3,4,1,PB,SR,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,UK,M,9,E,DT,N,9,4,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Germany,M,10,E,DA,N,30,4,1,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,12,E,DBAG,N,9,1,1,FG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,10,E,D,N,10,3,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UAE,M,8,E,DBAD,N,8,5,4,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,UK,M,10,E,DBAP,N,10,4,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Romania,M,1,E,E,N,6,3,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Ukraine,M,16,IC,A,Y,25,4,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Germany,M,1,E,A,N,1,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Germany,M,5,E,DBAG,Y,4,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,6,E,DBAD,N,4,1,3,FG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Romania,M,8,E,M,Y,9,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Sweden,M,2,E,DBAG,N,2,6,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,5,E,D,N,5,3,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Denmark,M,4,EC,A,Y,4,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Poland,M,11,IC,DBAG,N,11,5,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,5,E,D,N,5,3,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Bosnia,M,16,E,DA,N,18,2,6,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Germany,M,19,E,DBAG,N,19,2,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Sweden,M,7,EC,DBAP,N,7,2,1,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Spain,M,15,E,DBAG,N,15,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Belgium,M,4,E,DBAG,N,4,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Romania,M,5,E,DT,N,6,5,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Cyprus,M,10,E,DBAD,Y,10,3,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,DBAP,N,5,2,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Norway,M,13,E,DBAP,N,3,1,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,AN,N,2,1,6,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,8,E,D,N,8,1,1,FG,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Germany,M,5,E,DBAP,N,5,2,2,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Germany,M,3,EC,D,N,3,1,6,PB,SR,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,6,E,DBAP,N,6,1,0,FG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Bulgaria,M,5,E,A,N,2,3,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Spain,M,2,E,M,Y,2,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Sweden,M,3,E,E,N,3,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,MA,4,E,AN,N,6,1,0,NP,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,UK,M,8,E,DBAG,N,8,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,South-Africa,M,10,E,DBAP,N,10,4,0,SG,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
